variable,simulated_value,rank,z_score,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,max_rank,sim_id,hpd_lwr,hpd_upr,attained_hpd,proposal
tree_length,3.852757565355639,151,0.4634264424438904,3.160986776087029,2.870086124025242,1.4927305089035063,1.1989790609723259,1.4267796311620133,5.988988005475925,1.0162576956463107,202.85287811706755,181.8165087595598,200,data_set_16,0.8600015915840016,6.281152242428916,0.95,STL
max_branch,0.9731369008901929,81,-0.33934568956556194,1.1961977330505442,1.0665897489079366,0.6573262576162935,0.5512059731840273,0.41409026858075787,2.520873127070607,1.0181379271399227,197.7685934917244,181.8165087595598,200,data_set_16,0.16246558498213992,2.557873871409249,0.95,STL
range_branch,0.7982570838182643,61,-0.5422121236073494,1.1502696666919117,1.0339533940900276,0.6492156253012193,0.5488763509398006,0.359601280105558,2.45010062981264,1.0105483585027666,198.7429656376927,181.71259610245684,200,data_set_16,0.14892119516959013,2.4843034017485657,0.95,STL
RF_dist,3,106,0.5856668831389545,2.725,3,0.46955019639509615,0,2,3,0.9951006059442251,261.4419148586367,NA,200,data_set_16,2,3,0.95,STL
BHV_dist,2.579695543478667,112,-0.1273279258124174,2.6662518168981384,2.4797799208090585,0.6797901785268078,0.5215670889907105,1.9541237239513556,3.922628764232485,1.0076297235233607,200.12402436693986,181.8165087595598,200,data_set_16,1.7918410840049483,4.052315789319564,0.95,STL
KC_dist,3.1622776601683795,23,-1.397879426274302,4.01943809697434,4.358898943540674,0.6131862453191024,0.3316231516481249,2.8284271247461903,4.58257569495584,1.002513980419306,216.80397196949582,NA,200,data_set_16,2.8284271247461903,4.58257569495584,0.95,STL
tree_length,3.2999076720942915,29,-1.0391048040430342,4.959346479818689,4.905935928410891,1.596988870870115,1.5842089086205633,2.6212315997073103,7.830299327782745,0.9981994780344763,325.78453044700143,154.2736344045723,200,data_set_17,1.7808677546693086,8.009938268127675,0.95,STL
max_branch,1.1938476718264344,39,-0.9434249430094568,1.8617013975291987,1.8184902377623295,0.7079034009556284,0.7930269497991452,0.8418924546072548,3.1505106183819223,0.9994435748691045,265.8550545428527,184.50039724965913,200,data_set_17,0.6730442402209564,3.277629814115827,0.95,STL
range_branch,1.1196846014751107,35,-0.950950468787544,1.799122529582018,1.7233012265366334,0.714482983507213,0.779919569713612,0.7311048152000159,3.114238329224703,0.9971152151557245,248.71396567564835,183.81776436968573,200,data_set_17,0.57901742522506,3.207882714518035,0.95,STL
RF_dist,3,39,NA,3,3,0,0,3,3,NA,NA,NA,200,data_set_17,3,3,0.95,STL
BHV_dist,2.6190610753193733,61,-0.6754016478749195,3.1387619159854463,2.972262533115253,0.7694693110407077,0.7914306601696774,2.158298702876676,4.532649446607234,0.9957463606205461,218.01236762957214,183.81776436968573,200,data_set_17,1.996811919061272,4.607890757000032,0.95,STL
KC_dist,3.4641016151377544,14,0.03395584972674417,3.4632997436645385,3.4641016151377544,0.023615120212535815,0,3.4641016151377544,3.4641016151377544,1.004987562112089,200.0396118043176,204.12329046744225,200,data_set_17,3.4641016151377544,3.4641016151377544,0.95,STL
tree_length,4.0829305612877205,192,1.799181405187345,2.2898732760149545,2.108219268133071,0.9965961631790312,0.9309771763348632,0.953403031331582,3.940914239083542,1.0064548091024588,129.72974640825643,192.61489309412622,200,data_set_18,0.5218600344157531,3.966145005163075,0.95,STL
max_branch,1.4420054778020213,188,1.716557517407269,0.7457299465541336,0.6811744280382392,0.4056231872145825,0.3639366173828992,0.2603108155090551,1.4812423705065585,1.0062605858578426,149.2056807069625,184.50039724965913,200,data_set_18,0.1442929038500213,1.509580112474619,0.95,STL
range_branch,1.40900564416181,188,1.7758257145203686,0.6997736037662828,0.6189032207340482,0.3993815578839521,0.36921149455619856,0.21907609586080337,1.424119943419802,1.0051448360609911,164.43661838459963,224.40597791289804,200,data_set_18,0.1357155372768123,1.4321605181996202,0.95,STL
